Scenario,total_cost_mean,total_cost_std,VM_cost_mean,SLA_penalty_mean
1.0_S,143.9524902632821,18.935661329190786,68.79200000000002,75.16049026328207
1.0_M,225.41379126314163,37.2071766735918,130.5602285714286,94.85356269171304
1.0_L,324.9330389091255,65.65225398178943,216.29257142857128,108.64046748055414
1.25_S,124.13528894769817,7.096513993439251,65.57954285714288,58.55574609055528
1.25_M,193.25606082579225,24.064004950034388,117.71131428571434,75.5447465400779
1.25_L,300.1912201850635,76.28937373553886,204.7642285714285,95.42699161363505
1.5_S,121.56168302746674,7.105419927473004,66.14971428571431,55.41196874175245
1.5_M,196.8970915707866,33.403013668225704,121.40000000000005,75.49709157078657
1.5_L,316.2331240972732,99.11658360728714,221.25279999999978,94.98032409727342
1.75_S,118.44553080031395,4.850266868934816,66.55931428571431,51.88621651459961
1.75_M,195.24742238704562,35.82852219531417,123.10845714285718,72.13896524418844
1.75_L,315.83957397850384,92.48264024363917,221.7527999999999,94.08677397850408
2.0_S,113.47589498518937,5.296623328869208,64.28125714285716,49.194637842332206
2.0_M,185.55110852723269,30.660880278131597,116.88674285714288,68.66436567008977
2.0_L,322.0121135946967,110.0520976269833,228.64697142857113,93.36514216612555
2.25_S,110.90044764025785,5.698865446554769,63.48640000000002,47.41404764025781
2.25_M,179.17393959792324,24.5404871626839,113.05657142857149,66.11736816935176
2.25_L,318.18965942453553,112.20782074956058,227.29759999999968,90.89205942453593
